Traffic of web server,Daily error types,Daily request counts,Avg response time,Target
1,30,20,0.5,1
2,60,40,1,1
2,60,40,1,1
2,60,40,1,1
3,90,60,1.5,1
2,60,40,1,1
3,90,60,1.5,1
6,180,120,3,-1
2,60,40,1,1
4,120,80,15,1
4,120,80,2,1
2,60,200,1,1
2,60,40,1,1
3,90,60,1.5,1
4,600,80,2,1
2,60,40,1,1
4,120,80,2,1
3,90,60,1.5,1
2,60,40,1,1
3,90,60,1.5,1
20,600,400,10,-1
2,60,40,1,1
2,60,40,1,1
25,50,500,12.5,-1
3,90,60,1.5,1
4,120,80,2,1
5,150,100,2.5,-1
6,180,120,3,-1
4,120,80,2,1
3,90,60,1.5,1
2,60,40,1,1
4,120,80,2,1
4,120,80,2,1
2,60,40,20,1
2,60,40,1,1
3,90,60,1.5,1
4,120,80,2,1
2,60,40,1,1
4,120,80,2,1
3,90,60,1.5,1
2,60,40,1,1
3,90,60,1.5,1
4,120,80,2,1
5,150,100,2.5,-1
6,180,120,3,-1
4,120,80,2,1
3,90,60,1.5,1
2,60,40,1,1
4,120,80,2,1
4,120,80,2,1
2,700,40,1,1
2,60,40,1,1
3,90,60,1.5,1
4,120,80,2,1
2,60,40,13,1
4,120,80,2,1
3,90,60,1.5,1
2,60,400,1,1
4,120,80,2,1
2,60,40,1,1
